ice_age (ka), temperature (degrees C), CO2 (ppmv), CH4 (ppbv)
5.06, -55.4533, 272.14, 666.93
5.45, -55.8133, 271.22, 653.54
5.85, -54.6283, 270.29, 640.15
6.27, -55.56, 268.39, 594.65
6.7, -55.71, 266.06, 593.28
7.14, -52.8083, 263.73, 591.92
7.57, -55.2983, 261.4, 590.55
8.01, -55.3233, 259.06, 589.19
8.44, -54.7833, 256.73, 585.64
8.87, -54.5533, 254.4, 579.11
9.31, -55.3967, 252.07, 593.3
9.76, -54.7733, 255.09, 607.49
10.24, -56.0417, 257.22, 621.4
10.74, -57.8517, 257.77, 634.89
11.24, -58.88, 258.31, 648.38
11.74, -58.5933, 258.86, 661.87
12.32, -57.3717, 257.58, 650.61
12.94, -59.1567, 255.66, 624.17
13.55, -60.6467, 253.75, 500.31
14.17, -61.6367, 251.83, 496.15
14.78, -62.8317, 249.91, 592.5
15.39, -63.7617, 247.99, 640.33
16.01, -64.6567, 246.07, 593.7
16.69, -63.66, 240.5, 466.61
17.48, -64.9317, 230.26, 435.7
18.26, -64.41, 220.02, 424.48
19.05, -64.3667, 209.79, 413.27
19.83, -65.2717, 199.55, 402.06
20.63, -64.62, 193.11, 388.12
21.45, -64.765, 193.43, 369.51
22.28, -63.415, 193.74, 356.85
23.11, -63.9, 194.05, 353.02
23.93, -64.135, 194.37, 376.64
24.76, -64.99, 195.13, 365.26
25.6, -63.755, 196.21, 349.99
26.43, -62.9483, 197.29, 381.42
27.27, -64.5567, 198.37, 403.16
28.1, -63.5867, 199.45, 395.28
28.93, -64.24, 199.81, 387.39
29.74, -63.0183, 199.41, 391.67
30.56, -63.6917, 199.02, 407.48
31.38, -62.755, 198.63, 416.47
32.19, -61.185, 198.24, 419
33, -61.6017, 201.8, 421.53
33.79, -63.265, 211.31, 425.3
34.59, -62.8517, 220.81, 430.79
35.37, -62.4017, 217.71, 488.22
36.16, -62.7617, 210.85, 536.7
36.94, -62.1333, 207.51, 508.13
37.71, -62.3433, 208.66, 476.62
38.48, -62.3117, 209.82, 474.92
39.24, -60.76, 209.48, 481.14
40.01, -61.745, 208.87, 473.2
40.77, -61.4483, 208.25, 453.2
41.53, -62.96, 207.63, 433.2
42.3, -62.705, 207.02, 427.04
43.06, -63.0467, 201.24, 432.67
43.82, -62.7417, 195.3, 438.3
44.58, -62.4933, 189.37, 436.13
45.34, -61.955, 183.43, 426.77
46.1, -61.7833, 179.86, 417.3
46.85, -61.5017, 187.85, 407.3
47.61, -61.8767, 195.84, 415.14
48.36, -61.4, 201.49, 443.08
49.1, -62.0433, 204.6, 468.87
49.85, -61.31, 207.7, 484.84
50.6, -62.7633, 206.42, 500.81
51.34, -62.305, 205.15, 495.58
52.09, -60.9617, 203.87, 485.05
52.84, -60.1867, 202.6, 486.85
53.58, -59.5267, 201.32, 500.03
54.35, -60.72, 201, 513.21
55.12, -61.4967, 201, 519.33
55.9, -61.3783, 204.78, 525
56.69, -62.32, 211.41, 512.51
57.49, -62.9817, 218.04, 479.56
58.3, -63.5883, 217.91, 446.61
59.11, -62.3283, 215.88, 431.71
59.94, -63.8567, 213.48, 419.74
60.78, -64.1017, 210.29, 411.32
61.63, -64.4217, 207.11, 412.52
62.5, -63.455, 204.63, 413.71
63.38, -63.7517, 202.32, 414.32
64.26, -62.105, 199.56, 414.74
65.13, -62.83, 196.2, 417.81
66.01, -62.7333, 192.84, 425.41
66.88, -61.8267, 192.36, 433.01
