 UNICAS data file          : CPT_18 (at 58 m below ML).000           
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :11:13:12
 Project number                        :N6016/01 (3)                                                                                        
 Date of testing                       :15-Apr-2015                                                                                         
 Location                              :BH-WFS1-1                                                                                           
 Test name                             :CPT18
 Penetrometer                          :CP10-CF50PB10
 Serial no                             :1706-1913

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
    1   58.000    176.88     3.5015     2.5447     3.6739                           0.0431                      
    2   58.020    177.83     4.1434     3.2697     4.3994                1.2393     0.1354                      
    3   58.040    178.77     4.3202     3.6701     4.8001                2.0350     0.3652                      
    4   58.060    179.71     4.2022     3.6111     4.7415     0.1603     2.2012     0.4365     3.8566           
    5   58.080    180.65     4.4867     3.9626     5.0934     0.1513     2.5364     0.4654     3.4483           
    6   58.100    181.58     4.6711     4.2240     5.3552     0.1410     2.8028     0.5101     3.0696           
    7   58.120    182.52     4.8745     4.5105     5.6421     0.1382     3.1622     0.5518     2.8558           
    8   58.140    183.46     4.8336     4.5036     5.6356     0.1377     3.2372     0.5832     2.8452           
    9   58.160    184.39     4.9799     4.6796     5.8120     0.1395     3.3802     0.5869     2.8295           
   10   58.180    185.33     4.8947     4.6107     5.7434     0.1361     3.3847     0.6101     2.7716           
   11   58.200    186.27     4.9555     4.6798     5.8130     0.1351     3.4571     0.6086     2.7401           
   12   58.220    187.20     4.9667     4.7116     5.8451     0.1340     3.5224     0.6222     2.7051           
   13   58.240    188.14     4.9778     4.7195     5.8535     0.1343     3.5022     0.6187     2.6967           
   14   58.260    189.07     4.8382     4.5653     5.6996     0.1315     3.3872     0.6271     2.6823           
   15   58.280    190.00     4.7216     4.4176     5.5523     0.1280     3.3101     0.6203     2.6886           
   16   58.300    190.93     4.6762     4.3618     5.4969     0.1239     3.2851     0.6190     2.6454           
   17   58.320    191.86     4.6737     4.3534     5.4889     0.1216     3.2602     0.6151     2.6055           
   18   58.340    192.79     4.6051     4.2681     5.4040     0.1148     3.1737     0.6120     2.4718           
   19   58.360    193.72     4.6175     4.2654     5.4017     0.1111     3.1271     0.5985     2.4118           
   20   58.380    194.64     4.7183     4.3606     5.4973     0.1109     3.1183     0.5807     2.3795           
   21   58.400    195.55     4.8389     4.4897     5.6268     0.1126     3.1667     0.5719     2.3506           
   22   58.420    196.48     4.8926     4.5433     5.6808     0.1154     3.1654     0.5654     2.3663           
   23   58.440    197.39     5.0257     4.6855     5.8234     0.1161     3.1996     0.5563     2.3594           
   24   58.460    198.31     5.1875     4.8563     5.9946     0.1231     3.2620     0.5444     2.4031           
   25   58.480    199.23     5.2375     4.9423     6.0810     0.1285     3.3832     0.5644     2.4374           
   26   58.500    200.14     5.1974     4.8860     6.0250     0.1328     3.2985     0.5578     2.5571           
   27   58.520    201.06     5.2678     4.9598     6.0992     0.1303     3.3240     0.5526     2.4949           
   28   58.540    201.98     5.4173     5.1394     6.2792     0.1290     3.4686     0.5569     2.4087           
