"Permafrost borehole data for January. Temperature in deg. Celsius.  ""-999"" means missing data.  "			
			
Station_ID=003			
Region_ID=024			
WMO=24959			
Name=Yakutsk                           			
Latitude=62.0			
Longitude=129.7			
Elevation=98			
			
YEAR	0.80 m	3.20 m	ds 570 surface temp
			
1915	-999.0	-999.0	-46.0
1916	-25.1	-8.4	-44.0
1917	-20.7	-6.6	-39.0
1918	-999.0	-999.0	-40.0
1919	-999.0	-999.0	-999.0
1920	-19.2	-6.1	-36.0
1921	-18.3	-6.0	-40.0
1922	-999.0	-999.0	-46.0
1923	-999.0	-6.5	-44.0
1924	-999.0	-999.0	-33.0
1925	-999.0	-999.0	-39.0
1926	-999.0	-999.0	-45.0
1927	-999.0	-999.0	-43.0
1928	-999.0	-999.0	-47.0
1929	-999.0	-6.0	-40.0
1930	-999.0	-7.3	-51.0
1931	-17.4	-3.7	-34.0
1932	-14.5	-2.0	-40.0
1933	-15.1	-1.4	-39.0
1934	-16.8	-1.3	-42.0
1935	-14.3	-999.0	-45.0
1936	-18.1	-1.3	-42.0
1937	-18.4	-1.3	-40.0
1938	-18.9	-999.0	-46.0
1939	-16.4	-999.0	-38.0
1940	-12.2	-1.3	-44.0
1941	-999.0	-1.9	-40.0
1942	-16.8	-2.1	-41.0
1943	-11.7	-1.6	-42.0
1944	-15.0	-1.8	-45.0
1945	-12.9	-1.7	-45.0
1946	-15.9	-1.5	-44.0
1947	-14.3	-1.7	-41.0
1948	-14.7	-1.7	-40.0
1949	-11.9	-1.2	-42.0
1950	-14.3	-1.0	-44.0
1951	-14.1	-1.3	-48.0
1952	-13.4	-1.6	-41.0
1953	-17.0	-2.4	-42.0
1954	-12.0	-1.3	-40.0
1955	-10.3	-1.1	-43.0
1956	-12.9	-1.0	-36.0
1957	-11.4	-1.7	-44.0
1958	-12.3	-1.9	-45.0
1959	-11.4	-2.0	-44.0
1960	-12.5	-1.8	-46.0
1961	-999.0	-2.0	-37.0
1962	-10.4	-1.8	-42.0
1963	-999.0	-1.9	-37.0
1964	-10.1	-1.7	-43.0
1965	-999.0	-0.6	-42.0
1966	-11.6	-0.8	-41.0
1967	-7.2	-0.9	-44.0
1968	-4.9	-0.8	-42.0
1969	-6.3	-0.6	-42.0
1970	-10.0	-0.7	-43.0
1971	-3.8	-0.7	-47.0
1972	-3.5	-999.0	-37.0
1973	-12.0	-0.6	-38.0
1974	-10.9	-1.0	-38.0
1975	-8.3	-0.8	-39.0
1976	-8.6	-0.8	-41.0
1977	-5.9	-0.8	-44.0
1978	-8.5	-0.7	-999.0
1979	-4.0	-0.8	-36.0
1980	-2.9	-0.6	-36.0
1981	-3.4	-0.6	-43.0
1982	-7.3	-0.6	-999.0
1983	-2.4	-0.8	-35.0
1984	-3.8	-0.7	-43.0
1985	-5.6	-0.6	-41.0
1986	-5.7	-0.7	-45.0
1987	-7.3	-0.7	-41.0
1988	-6.2	-0.9	-39.0
1989	-3.3	-0.8	-42.0
1990	-4.4	-0.5	-32.0
1991	-3.0	-0.7	-39.0
1992	-3.5	-0.6	-32.0
1993	-5.1	-0.5	-45.0
1994	-5.1	-0.5	-35.0
1995	-2.9	-0.5	-38.0
1996	-5.6	-0.5	-37.0
1997	-4.5	-0.7	-39.0
1998	-2.9	-0.8	-33.0
1999	-2.4	-0.4	-36.0
2000	-1.0	-0.5	-38.0
