time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-12-14T06:29:15.740Z,19.4333324,-155.2906647,1.66,2.14,ml,17,248,0.0123,0.36,hv,hv61126056,2015-12-14T06:34:58.500Z,"5km W of Volcano, Hawaii",earthquake
2015-12-14T06:07:35.920Z,33.0325,-115.5771667,6.45,2.19,ml,23,88,0.006991,0.27,ci,ci37501584,2015-12-14T06:18:04.980Z,"4km E of Westmorland, California",earthquake
2015-12-14T05:53:09.000Z,59.0244,-152.3831,58.6,2.7,ml,,,,0.51,ak,ak12272154,2015-12-14T06:20:50.835Z,"83km SW of Homer, Alaska",earthquake
2015-12-14T05:07:36.000Z,60.1337,-152.7141,88.3,2.1,ml,,,,0.13,ak,ak12272150,2015-12-14T05:38:37.569Z,"39km S of Redoubt Volcano, Alaska",earthquake
2015-12-14T04:46:42.720Z,34.0381667,-116.7823333,17.87,1.52,ml,36,79,0.02134,0.18,ci,ci37501576,2015-12-14T05:12:25.282Z,"13km N of Cabazon, California",earthquake
2015-12-14T04:45:57.010Z,34.0361667,-116.7855,2.05,2.58,ml,84,20,0.1142,0.29,ci,ci37501568,2015-12-14T04:57:24.970Z,"13km N of Cabazon, California",earthquake
2015-12-14T03:49:39.540Z,37.1755,-117.3972,6.2,1.9,ml,23,118.39,0.206,,nn,nn00522507,2015-12-14T03:52:07.528Z,"60km SSW of Goldfield, Nevada",earthquake
2015-12-14T03:44:44.610Z,34.0408333,-117.0136667,13.46,1.47,ml,49,47,0.08217,0.19,ci,ci37501560,2015-12-14T03:55:53.070Z,"3km ENE of Yucaipa, California",earthquake
2015-12-14T03:11:39.000Z,60.5992,-140.7523,0.1,1.8,ml,,,,0.92,ak,ak12270837,2015-12-14T03:43:49.099Z,"110km ENE of Cape Yakataga, Alaska",earthquake
2015-12-14T03:02:57.000Z,63.4254,-151.432,8.6,1.7,ml,,,,0.64,ak,ak12269527,2015-12-14T03:23:39.225Z,"124km W of Cantwell, Alaska",earthquake
2015-12-14T02:58:20.000Z,61.3798,-152.205,17.4,0.4,ml,,,,0.33,ak,ak12269526,2015-12-14T04:26:00.724Z,"91km NNW of Nikiski, Alaska",earthquake
2015-12-14T02:58:02.000Z,58.4064,-154.7355,0,2.6,ml,,,,1.33,ak,ak12270839,2015-12-14T04:26:32.679Z,"106km NNW of Larsen Bay, Alaska",earthquake
2015-12-14T02:26:14.410Z,33.1858333,-115.5671667,1.1,1.48,ml,8,119,0.04654,0.26,ci,ci37501552,2015-12-14T02:30:12.898Z,"8km SW of Niland, California",earthquake
2015-12-14T02:25:39.000Z,60.1863,-141.4873,2.1,1.6,ml,,,,0.59,ak,ak12269523,2015-12-14T03:02:12.198Z,"54km ENE of Cape Yakataga, Alaska",earthquake
2015-12-14T02:18:10.470Z,19.4061661,-155.2781677,0.81,2.55,ml,24,35,0.006389,0.21,hv,hv61125926,2015-12-14T02:24:26.824Z,"5km WSW of Volcano, Hawaii",earthquake
2015-12-14T01:55:23.000Z,63.426,-151.4423,3.4,2.2,ml,,,,0.79,ak,ak12269513,2015-12-14T02:38:48.694Z,"124km W of Cantwell, Alaska",earthquake
2015-12-14T01:46:01.980Z,-4.1446,129.6637,31.03,5.4,mb,,54,2.853,1.23,us,us20004gyq,2015-12-14T01:56:06.570Z,"122km SE of Amahai, Indonesia",earthquake
2015-12-14T01:44:11.760Z,33.6061667,-116.7111667,-0.15,0.16,ml,14,159,0.04452,0.21,ci,ci37501544,2015-12-14T01:47:58.522Z,"7km NNW of Anza, California",earthquake
2015-12-14T01:34:08.170Z,-4.1994,129.6085,76.65,5.1,mb,,54,2.926,0.83,us,us20004gyp,2015-12-14T01:47:34.660Z,"122km SE of Amahai, Indonesia",earthquake
