NCEI (formerly NGDC)   Go
NOAA > NESDIS > NCEI (formerly NGDC) > Natural Hazards
questions
Earthquake Strong Motion Data Catalog Search - sorted by Date

3871 Earthquake Strong Motion records where (Year <= 1994 and Year >= 1933) and (Magnitude <= 9.9 and Magnitude >= 0) and (MMI Intensity <= 12 and MMI Intensity >= 0) and (Latitude <= 90 and Latitude >= -90) and (Longitude <= 180 and Longitude >= -180)

View parameter descriptions by clicking on column headings.

Date    Earthquake Parameters   Station Geographic Parameters   Station Site Parameters Ground Motion Parameters    Tape Files
Year    Mo  Dy  Hr  Mn  Sec Earthquake Name State   Country Latitude    Longitude   Focal
Depth   Mag Mag
Type    MMI Int Station Name    State   Country Latitude    Longitude   Epi
Dist    Component   Structure   Floor   Coef    Site Geology    Unc
Accel   Cor
Accel   Max
Vel Max
Disp    Unc
Tape    Unc
File    Cor
Tape    Cor
File    Res
Tape    Res
File
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.583  -117.983    16  6.3 ML  9   CMD TERMINAL BLDG, VERNON   CA  USA 34.000  -118.200    0   N82W    B   -1  S4  ALLUVIUM    160.1   151.5   17.32   17.53   USACA37 62  USACA01 62  USACA09 62
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.583  -117.983    16  6.3 ML  9   CMD TERMINAL BLDG, VERNON   CA  USA 34.000  -118.200    0   S08W    B   -1  S4  ALLUVIUM    132.5   130.6   29.04   15.46   USACA37 61  USACA01 61  USACA09 61
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.583  -117.983    16  6.3 ML  9   CMD TERMINAL BLDG, VERNON   CA  USA 34.000  -118.200    0   VERT    B   -1  S4  ALLUVIUM    146.8   149.5   12.01   7.38    USACA37 63  USACA01 63  USACA09 63
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.580  -117.980    16  6.3 ML  9   PUBLIC UTILITY BUILDING, LONG BEACH CA  USA 33.770  -118.190    29  VERT    B   -1          219.2   279.8   30.18   26.39   USACA03 306 USACA02 249 USACA09 870
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.580  -117.980    16  6.3 ML  9   PUBLIC UTILITY BUILDING, LONG BEACH CA  USA 33.770  -118.190    29  SOUTH   B   -1          212.3   192.7   29.42   22.73   USACA03 304 USACA02 247 USACA09 868
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.580  -117.980    16  6.3 ML  9   PUBLIC UTILITY BUILDING, LONG BEACH CA  USA 33.770  -118.190    29  WEST    B   -1          180.1   156.0   16.51   11.87   USACA03 305 USACA02 248 USACA09 869
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.580  -117.980    16  6.3 ML  9   SUBWAY TERMINAL, LOS ANGELES    CA  USA 34.050  -118.250    58  VERT    B   -2  S2  SHALE   48.5    63.6    9.07    5.73    USACA03 303 USACA02 246 USACA09 867
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.580  -117.980    16  6.3 ML  9   SUBWAY TERMINAL, LOS ANGELES    CA  USA 34.050  -118.250    58  N39E    B   -2  S2  SHALE   63.2    62.3    17.34   8.21    USACA03 301 USACA02 244 USACA09 865
1933    3   11  1   54  7.8 LONG BEACH EARTHQUAKE   CA  USA 33.580  -117.980    16  6.3 ML  9   SUBWAY TERMINAL, LOS ANGELES    CA  USA 34.050  -118.250    58  N51W    B   -2  S2  SHALE   97.9    95.6    23.69   16.34   USACA03 302 USACA02 245 USACA09 866
1933    10  2   9   10  17.6    SOUTHERN CALIFORNIA EARTHQUAKE  CA  USA 33.780  -118.100    16  5.4 ML  6   HOLLYWOOD STORAGE BUILDING, LOS ANGELES CA  USA 34.089  -118.338    38  N00E    B   99  S4  ALLUVIUM(130M?) OVER SANDSTONE  46.4    43.2    5.24    1.85    USACA37 64  USACA01 64  USACA09 64
1933    10  2   9   10  17.6    SOUTHERN CALIFORNIA EARTHQUAKE  CA  USA 33.780  -118.100    16  5.4 ML  6   HOLLYWOOD STORAGE BUILDING, LOS ANGELES CA  USA 34.089  -118.338    38  N00E    B   -1  S4  ALLUVIUM(130M?) OVER SANDSTONE  36.0    32.1    1.97    .76 USACA37 67  USACA01 67  USACA09 67
1933    10  2   9   10  17.6    SOUTHERN CALIFORNIA EARTHQUAKE  CA  USA 33.780  -118.100    16  5.4 ML  6   HOLLYWOOD STORAGE BUILDING, LOS ANGELES CA  USA 34.089  -118.338    38  N90E    B   99  S4  ALLUVIUM(130M?) OVER SANDSTONE  93.9    85.4    9.40    4.38    USACA37 65  USACA01 65  USACA09 65
